FID,CellID,RWQ,ALT,FFP,BIO1,Y_WGS84_DD,X_WGS84_DD,SYN_A_PREZ,SYN_A_TRUEABS,SYN_A_TRUE_PROB
0,1000,1.013,590.61,0.2883,8.0092,45.152642,22.29275,0,1,0.1
1,1001,0.395,767.72,0.5537,7.2621,47.249117,21.118301,1,0,0.9
2,1002,1.384,181.74,0.2797,10.5666,45.772838,23.528619,0,1,0.1
3,1003,1.582,515.7,0.0453,9.5967,47.599826,23.31483,0,1,0.1
4,1004,0.209,352.89,1.5952,9.8002,47.238204,24.175011,1,0,0.9
5,1005,0.329,363.31,0.1498,10.4644,47.657116,22.237091,1,0,0.9
6,1006,0.895,1026.92,0.3075,5.8694,45.647774,20.256349,1,0,0.9
7,1007,0.656,367.28,1.5553,9.8149,46.593878,24.915089,1,0,0.9
8,1008,0.809,526.44,0.8769,8.7969,47.33781,22.989744,1,0,0.9
9,1009,0.451,94.62,0.6977,11.4342,45.737099,25.21068,1,0,0.9
10,1010,1.515,1166.7,1.738,5.8592,45.692239,20.869336,0,1,0.1
11,1011,1.411,740.63,0.1431,6.3964,45.081546,20.110219,0,1,0.1
12,1012,0.857,415.53,0.5345,8.5061,47.875546,21.986354,1,0,0.9
13,1013,1.802,342.14,0.5036,9.6756,47.130051,23.652379,0,1,0.1
14,1014,1.136,628.49,2.7946,8.2363,46.906681,23.152576,0,1,0.1
15,1015,0.449,880.59,1.3809,7.0615,47.231984,26.48242,1,0,0.9
16,1016,1.06,1176.18,0.1765,5.1795,46.594839,23.022701,0,1,0.1
17,1017,0.418,725.65,0.1338,7.454,46.428401,24.243529,1,0,0.9
18,1018,1.514,453.22,0.3705,9.7902,46.348597,24.748125,0,1,0.1
19,1019,0.791,794.82,0.1752,7.7462,46.921318,20.174651,1,0,0.9
20,1020,0.719,706.87,0.3741,7.8508,45.604605,24.121067,1,0,0.9
21,1021,0.508,454.39,0.0904,9.755,47.664176,22.75865,1,0,0.9
22,1022,1.927,694.1,0.7187,7.9717,47.435257,23.370241,0,1,0.1
23,1023,0.735,686.03,0.1786,7.6031,46.048691,20.802299,1,0,0.9
24,1024,0.607,413.92,0.1953,9.8654,46.735828,26.262565,1,0,0.9
25,1025,0.64,297.96,3.2088,10.2675,45.423082,27.539234,1,0,0.9
26,1026,1.188,649.42,1.3541,8.1042,47.917039,20.178151,0,1,0.1
27,1027,1.057,198.17,1.7125,11.5475,47.708678,24.810982,0,1,0.1
28,1028,1.093,164.79,0.0525,9.7858,47.765693,26.110753,0,1,0.1
29,1029,1.107,531.83,0.2445,8.1002,45.996489,22.278461,0,1,0.1
30,1030,3.666,638.39,0.3743,7.5761,45.507404,26.300445,0,1,0.1
31,1031,0.616,529.25,1.3995,8.6428,45.635316,25.05884,1,0,0.9
32,1032,0.572,566.96,0.7574,8.471,45.270004,27.433301,1,0,0.9
33,1033,0.463,631.61,0.005,7.4567,45.360332,27.848038,1,0,0.9
34,1034,1.26,1029.25,0.2694,5.3319,45.213914,20.338769,0,1,0.1
35,1035,1.804,733.39,1.3504,7.1692,47.969469,23.559502,0,1,0.1
36,1036,0.756,719.76,4.54,8.9102,45.222173,24.375902,1,0,0.9
37,1037,0.455,505.57,0.3383,9.8675,45.397626,21.173946,1,0,0.9
38,1038,0.46,517.89,0.5018,8.6868,47.481764,22.690287,1,0,0.9
39,1039,1.291,391.34,0.7454,9.4702,46.740721,27.90118,0,1,0.1
40,1040,1.378,556.28,0.5017,8.0877,47.323252,20.129844,0,1,0.1
41,1041,1.197,190.44,1.3304,9.9033,46.892736,23.620063,0,1,0.1
42,1042,0.514,1032.14,1.7712,5.7487,47.646525,26.741237,1,0,0.9
43,1043,0.963,233.54,0.1686,10.0998,46.915403,22.59121,1,0,0.9
44,1044,0.888,732.48,0.6341,7.5627,46.566375,23.838388,1,0,0.9
45,1045,0.954,954.12,0.089,5.4752,47.138249,27.824366,1,0,0.9
46,1046,1.507,731.4,0.1404,7.2306,46.342178,23.799015,0,1,0.1
47,1047,0.957,1500.0,0.5069,5.0,46.038191,21.04737,1,0,0.9
48,1048,1.317,70.65,0.2943,11.7592,46.402957,20.413772,0,1,0.1
49,1049,0.858,312.07,0.0729,10.3363,45.509142,27.563333,1,0,0.9
50,1050,1.002,944.48,0.5993,5.6728,47.389715,22.126475,0,1,0.1
51,1051,1.274,159.43,1.0729,11.4708,45.782111,24.032511,0,1,0.1
52,1052,0.295,239.07,1.0467,10.1655,45.460595,20.725614,1,0,0.9
53,1053,0.655,606.69,0.3028,8.6763,45.739057,23.389241,1,0,0.9
54,1054,0.589,449.53,0.6181,9.2975,47.52621,27.440844,1,0,0.9
55,1055,0.524,583.13,0.1777,7.813,45.990604,24.019304,1,0,0.9
56,1056,0.675,475.32,0.2098,8.99,47.05815,27.769081,1,0,0.9
57,1057,2.331,504.37,0.3109,9.1564,47.569229,22.070685,0,1,0.1
58,1058,0.447,257.23,2.278,10.7631,45.233234,24.036362,1,0,0.9
59,1059,1.613,493.88,0.4292,8.9662,47.295073,26.876246,0,1,0.1
60,1060,0.252,327.45,0.7058,10.8012,45.922996,23.586019,1,0,0.9
61,1061,0.648,359.69,0.6133,10.3456,45.649867,22.235899,1,0,0.9
62,1062,0.918,726.28,1.1018,7.514,47.066704,26.843803,1,0,0.9
63,1063,1.234,152.75,2.3351,11.4585,47.72939,23.119116,0,1,0.1
64,1064,1.347,45.43,0.3394,12.6943,45.885058,24.245786,0,1,0.1
65,1065,1.427,693.52,1.052,8.8191,46.706501,27.812217,0,1,0.1
66,1066,0.641,494.21,0.3236,8.4208,45.869502,21.491866,1,0,0.9
67,1067,0.592,953.49,1.6535,5.8158,46.662857,22.411205,1,0,0.9
68,1068,1.493,243.99,0.1196,11.2785,46.865586,20.248557,0,1,0.1
