FID,CellID,RWQ,ALT,FFP,BIO1,Y_WGS84_DD,X_WGS84_DD,SYN_B_PREZ,SYN_B_TRUEABS,SYN_B_TRUE_PROB
0,1000,0.466,150.31,0.2819,10.6861,47.4475,25.40728,0,1,0.1
1,1001,0.309,169.11,1.2071,10.361,45.52938,22.749681,0,1,0.1
2,1002,1.584,243.06,0.4115,10.7084,45.155415,27.594023,0,1,0.1
3,1003,1.156,950.91,0.2965,6.3873,47.267633,22.592994,1,0,0.9
4,1004,0.53,438.1,0.8042,9.7152,46.05013,24.510447,1,0,0.9
5,1005,0.27,317.9,0.8123,10.3657,46.168002,22.059101,0,1,0.1
6,1006,0.486,629.06,0.3185,8.347,45.741203,24.960901,1,0,0.9
7,1007,0.788,444.16,1.5382,9.6133,47.577535,23.736339,1,0,0.9
8,1008,1.851,498.7,0.3843,8.9865,45.891989,22.965026,1,0,0.9
9,1009,0.396,356.0,1.0386,10.0704,45.630578,21.629515,0,1,0.1
10,1010,0.772,222.23,0.2796,10.3035,45.927749,20.892171,0,1,0.1
11,1011,1.313,422.87,1.2172,9.6476,45.609449,20.959033,1,0,0.9
12,1012,0.155,400.54,1.1837,9.931,45.952966,27.99232,1,0,0.9
13,1013,1.688,733.97,1.0098,7.2613,45.248809,23.298486,1,0,0.9
14,1014,0.358,432.67,1.2788,9.4299,45.47559,20.015438,1,0,0.9
15,1015,1.033,257.83,0.6852,10.1412,46.251159,27.62343,0,1,0.1
16,1016,0.973,245.49,0.1633,10.2638,47.638401,20.159839,0,1,0.1
17,1017,1.749,1464.29,0.5699,5.0,45.171872,23.348689,1,0,0.9
18,1018,1.204,55.31,0.1894,12.301,45.638024,25.739821,0,1,0.1
19,1019,0.155,906.56,0.7672,7.0935,47.725037,27.316794,1,0,0.9
20,1020,0.473,510.82,0.0947,9.2038,47.670044,25.70309,1,0,0.9
21,1021,0.902,592.17,0.6746,9.4331,47.038352,23.709006,1,0,0.9
22,1022,0.714,764.27,0.126,7.3197,45.721421,27.795536,1,0,0.9
23,1023,1.144,547.77,0.71,10.2292,46.259432,20.314555,1,0,0.9
24,1024,1.423,349.06,3.2783,9.7919,45.633663,27.895138,0,1,0.1
25,1025,1.253,1155.02,0.9183,5.1975,45.385766,26.795132,1,0,0.9
26,1026,0.705,716.1,0.2937,7.5045,46.139995,27.43144,1,0,0.9
27,1027,0.225,282.59,0.218,10.4906,46.727465,22.038179,0,1,0.1
28,1028,0.595,1008.45,0.4327,6.3671,46.079798,21.139665,1,0,0.9
29,1029,1.096,99.54,0.5722,11.3458,46.832474,25.306522,0,1,0.1
30,1030,0.382,1198.29,0.7439,5.6986,45.888764,24.126876,1,0,0.9
31,1031,1.274,613.84,0.2328,8.4366,46.037552,24.185344,1,0,0.9
32,1032,1.546,90.03,0.8027,11.5951,47.372021,27.396953,0,1,0.1
33,1033,0.895,666.87,0.1464,7.5443,47.634944,24.960647,1,0,0.9
34,1034,0.096,332.93,2.0796,10.2117,45.966102,22.488511,0,1,0.1
35,1035,0.335,292.56,1.0487,10.1776,46.714547,23.200532,0,1,0.1
36,1036,3.066,613.35,0.5184,8.0158,45.834487,21.067967,1,0,0.9
37,1037,0.558,477.6,0.9164,8.7462,45.160004,21.538512,1,0,0.9
38,1038,0.204,819.81,0.1356,8.417,47.213572,21.146801,1,0,0.9
39,1039,1.944,109.76,1.5645,11.2097,45.51301,26.482331,0,1,0.1
40,1040,0.826,646.99,1.8516,7.3895,46.277138,25.638988,1,0,0.9
41,1041,1.774,564.79,0.1727,8.2622,46.461136,24.24276,1,0,0.9
42,1042,0.994,708.96,0.0307,7.7204,45.553415,22.994943,1,0,0.9
43,1043,1.129,305.17,0.3504,10.4423,45.283666,25.347954,0,1,0.1
44,1044,1.056,1341.91,0.8857,5.0,46.044039,26.503243,1,0,0.9
45,1045,1.334,597.75,2.8658,8.7518,47.856858,27.049866,1,0,0.9
46,1046,4.032,402.24,0.3258,9.2641,46.845407,24.37613,1,0,0.9
47,1047,1.616,63.73,0.3191,11.7879,46.144231,26.559081,0,1,0.1
48,1048,0.271,330.81,0.1018,9.5771,45.116732,24.090448,0,1,0.1
49,1049,1.119,730.47,1.6149,7.3074,46.80082,23.796241,1,0,0.9
50,1050,1.82,1036.7,2.493,5.321,45.276773,26.923455,1,0,0.9
51,1051,1.9,447.03,0.0577,8.7236,46.627632,23.090991,1,0,0.9
52,1052,0.607,1141.27,0.0758,5.6845,47.255852,23.167301,1,0,0.9
53,1053,1.851,211.05,0.2432,11.078,46.270756,22.439291,0,1,0.1
54,1054,1.567,576.03,1.7827,9.0322,45.898234,24.149614,1,0,0.9
55,1055,4.957,586.72,3.8473,8.4994,45.142153,24.3588,1,0,0.9
56,1056,0.484,650.35,0.3482,8.4863,45.074334,25.283689,1,0,0.9
57,1057,0.574,489.44,1.1183,8.1827,46.29008,23.444018,1,0,0.9
58,1058,0.661,555.55,0.7156,9.0983,47.650036,21.742698,1,0,0.9
59,1059,0.581,207.02,0.1945,10.8464,45.732188,26.934736,0,1,0.1
60,1060,0.439,975.9,0.6345,6.4581,46.722167,22.768007,1,0,0.9
61,1061,0.118,785.34,2.3287,7.478,47.052917,27.383547,1,0,0.9
62,1062,0.604,541.27,1.1453,8.2589,45.18249,21.658827,1,0,0.9
63,1063,1.06,796.93,1.2019,6.4694,45.459301,24.48046,1,0,0.9
64,1064,0.58,995.16,1.0956,5.673,45.99383,24.292921,1,0,0.9
65,1065,3.173,644.29,0.1207,8.4167,47.01028,26.629183,1,0,0.9
66,1066,0.826,1430.1,0.5688,5.0,46.317105,21.110811,1,0,0.9
67,1067,2.021,678.95,0.9304,7.2423,47.202585,27.279497,1,0,0.9
68,1068,0.983,233.46,0.6023,10.1087,47.602794,24.251425,0,1,0.1
69,1069,1.46,523.4,0.0086,8.498,47.275117,24.688875,1,0,0.9
70,1070,0.995,816.5,0.0751,6.9223,47.976742,24.08133,1,0,0.9
71,1071,2.134,995.75,1.8767,5.3445,47.263083,20.288199,1,0,0.9
72,1072,0.851,496.43,1.1345,8.3104,47.556538,23.976725,1,0,0.9
73,1073,1.159,219.18,1.0837,10.274,47.497099,22.108397,0,1,0.1
74,1074,1.058,378.02,1.7275,9.775,47.190797,22.741505,0,1,0.1
75,1075,0.669,147.75,0.9702,10.5232,47.405405,25.192813,0,1,0.1
76,1076,1.087,723.88,3.0306,7.5988,47.80405,23.981577,1,0,0.9
77,1077,3.912,327.82,1.8824,10.5624,46.425622,20.745746,0,1,0.1
78,1078,0.678,262.61,0.2537,9.7735,46.914861,20.58433,0,1,0.1
79,1079,1.098,768.99,0.3301,7.2828,46.544819,21.485262,1,0,0.9
80,1080,1.975,1127.29,0.5953,5.7486,47.553111,21.527081,1,0,0.9
81,1081,1.819,261.74,0.2468,10.2204,46.294079,24.866406,0,1,0.1
82,1082,0.825,498.61,1.565,8.7215,47.45918,21.422516,1,0,0.9
83,1083,0.154,389.25,0.1544,10.2463,47.398064,27.053755,0,1,0.1
84,1084,1.175,1024.15,0.7127,5.702,47.885658,21.678085,1,0,0.9
85,1085,0.173,420.96,1.0939,10.0265,45.746762,20.729052,1,0,0.9
86,1086,2.291,203.01,0.7149,10.9964,47.128859,27.005968,0,1,0.1
87,1087,0.922,434.9,0.236,9.2192,47.270758,22.362621,1,0,0.9
88,1088,1.648,894.84,0.5484,6.8708,47.808835,23.403381,1,0,0.9
89,1089,0.435,373.35,0.123,9.9201,47.720707,27.672211,0,1,0.1
90,1090,0.276,282.88,0.5839,10.8132,46.720578,27.554954,0,1,0.1
91,1091,0.983,407.97,0.6472,9.278,46.73746,25.719335,1,0,0.9
92,1092,0.8,208.28,0.5568,10.7709,45.501874,20.551512,0,1,0.1
93,1093,0.58,388.9,0.6313,9.6359,47.924888,24.746721,0,1,0.1
94,1094,0.869,299.03,0.2256,10.5579,45.765052,27.912623,0,1,0.1
95,1095,5.0,1500.0,2.7018,5.0,47.174209,27.57533,1,0,0.9
96,1096,1.468,80.35,1.0339,12.0264,47.387385,20.84802,0,1,0.1
97,1097,1.707,232.66,0.7759,10.8372,46.323647,23.167738,0,1,0.1
98,1098,1.478,282.72,0.8674,9.6452,45.633581,22.524294,0,1,0.1
99,1099,2.306,209.42,0.3822,11.3476,45.566881,21.037825,0,1,0.1
100,1100,0.717,579.7,2.0663,9.6388,47.569488,25.558386,1,0,0.9
101,1101,0.194,258.18,0.1222,10.9518,46.532269,22.190787,0,1,0.1
102,1102,0.717,134.12,0.0341,11.9088,45.270411,22.758926,0,1,0.1
103,1103,1.445,469.26,0.8895,9.2272,47.151058,20.722871,1,0,0.9
104,1104,0.415,358.25,0.6966,9.0197,45.750513,23.98374,0,1,0.1
105,1105,0.724,267.54,0.3165,9.4727,47.629184,21.265343,0,1,0.1
106,1106,0.504,1008.44,3.1703,6.0769,45.928715,23.456723,1,0,0.9
107,1107,2.343,592.44,0.9967,8.1494,45.600812,21.146738,1,0,0.9
108,1108,1.384,550.08,0.5786,8.2422,45.254575,27.630799,1,0,0.9
109,1109,1.292,600.99,1.2535,8.3627,46.534593,21.15986,1,0,0.9
110,1110,1.265,581.2,0.1415,8.8206,46.352213,24.175097,1,0,0.9
111,1111,0.798,371.32,0.3336,9.0457,47.253936,21.575839,0,1,0.1
112,1112,0.94,260.27,0.1782,10.214,46.393808,20.610894,0,1,0.1
113,1113,0.357,476.24,0.1883,9.8975,46.031448,21.618469,1,0,0.9
114,1114,0.177,366.51,1.2076,9.2633,45.784965,20.438193,0,1,0.1
115,1115,0.909,79.21,0.506,11.9596,45.83444,21.115179,0,1,0.1
116,1116,1.027,194.99,0.6564,10.5877,47.783544,23.947873,0,1,0.1
117,1117,1.909,334.34,0.2973,10.2669,45.495236,25.214524,0,1,0.1
118,1118,2.459,779.38,0.1055,7.8724,47.964529,20.698719,1,0,0.9
119,1119,2.457,477.64,0.2414,9.5048,45.980758,23.528149,1,0,0.9
120,1120,0.407,225.88,0.2499,11.0993,45.265171,24.649976,0,1,0.1
121,1121,0.64,181.48,0.7534,10.3353,45.746071,21.873805,0,1,0.1
122,1122,1.146,884.72,1.0421,7.2485,45.175243,22.976627,1,0,0.9
123,1123,4.818,383.5,3.3416,9.2727,47.370089,20.574679,0,1,0.1
124,1124,2.307,18.9,1.786,12.0164,46.537659,21.761049,0,1,0.1
125,1125,1.792,400.81,3.654,9.7243,46.01096,23.734023,1,0,0.9
126,1126,0.624,676.38,1.236,8.1843,46.986149,27.923537,1,0,0.9
127,1127,0.441,176.88,0.0089,11.1072,46.89194,27.970121,0,1,0.1
128,1128,1.422,453.53,0.0926,8.8569,47.819616,27.836973,1,0,0.9
129,1129,0.379,482.77,0.7255,8.4284,47.883782,23.384691,1,0,0.9
130,1130,0.693,185.8,0.5543,11.3214,47.042051,20.645443,0,1,0.1
131,1131,0.756,934.81,0.1993,6.4841,47.453448,22.588587,1,0,0.9
132,1132,2.497,488.4,0.2078,9.6443,47.377275,21.901715,1,0,0.9
133,1133,0.639,333.1,1.0807,9.979,46.473911,20.113013,0,1,0.1
134,1134,0.148,385.31,0.3551,8.9856,47.113375,20.761869,0,1,0.1
135,1135,1.165,157.51,1.1068,11.538,45.234777,23.625535,0,1,0.1
136,1136,0.502,151.95,0.9945,10.9031,47.274063,22.7173,0,1,0.1
137,1137,0.844,310.98,0.4105,10.3051,47.885499,21.44283,0,1,0.1
138,1138,0.771,325.24,0.6245,9.7248,45.254924,25.7288,0,1,0.1
139,1139,0.676,367.73,0.3019,10.6158,47.508347,22.856925,0,1,0.1
140,1140,1.424,985.91,0.7607,5.6462,47.79894,26.814943,1,0,0.9
141,1141,0.28,653.3,2.0998,7.9115,45.678567,21.927817,1,0,0.9
142,1142,0.57,92.54,1.2008,11.4985,46.574434,24.307148,0,1,0.1
143,1143,1.322,872.43,0.8011,6.2193,47.783575,21.473114,1,0,0.9
144,1144,0.533,309.2,1.109,10.31,47.880678,23.962405,0,1,0.1
145,1145,0.265,693.66,0.436,8.644,45.383647,21.219732,1,0,0.9
146,1146,1.307,327.47,0.4317,9.7899,46.047013,21.292629,0,1,0.1
147,1147,1.797,467.73,0.1198,9.3912,47.094434,24.897787,1,0,0.9
148,1148,0.793,167.74,0.3888,9.6188,45.664675,22.110288,0,1,0.1
149,1149,0.208,538.45,0.6323,8.7498,45.974312,21.378938,1,0,0.9
150,1150,1.342,744.06,0.3431,7.3791,45.069873,27.438146,1,0,0.9
151,1151,0.256,110.34,0.0521,10.9287,45.460565,20.344026,0,1,0.1
152,1152,1.016,751.33,0.0365,8.0328,46.686988,24.521185,1,0,0.9
153,1153,0.44,259.44,0.2857,10.2802,46.95927,24.386111,0,1,0.1
154,1154,0.364,1181.18,0.1896,5.0,46.946735,22.004871,1,0,0.9
155,1155,0.601,701.8,0.4959,7.6006,47.335081,23.622174,1,0,0.9
156,1156,0.72,626.25,0.7312,7.2841,46.245844,20.701902,1,0,0.9
