FID,CellID,RWQ,ALT,FFP,BIO1,Y_WGS84_DD,X_WGS84_DD,SYN_C_PREZ,SYN_C_TRUEABS,SYN_C_TRUE_PROB
0,1000,1.892,540.05,0.1377,8.0061,46.506398,25.61644,1,0,0.9
1,1001,0.434,536.67,0.9869,7.7783,46.295544,27.049323,0,1,0.1
2,1002,0.998,446.25,0.174,9.6928,46.635104,20.412861,1,0,0.9
3,1003,0.397,424.95,1.8482,9.0738,47.547197,27.786655,0,1,0.1
4,1004,0.661,640.02,0.3189,8.5961,45.675727,25.630542,0,1,0.1
5,1005,0.505,209.93,1.6238,11.2946,45.082993,22.274389,1,0,0.9
6,1006,1.248,254.91,0.3237,10.1609,45.114676,21.635798,1,0,0.9
7,1007,0.509,125.32,0.0918,11.5432,45.402506,22.368703,1,0,0.9
8,1008,1.662,212.57,0.8882,10.394,46.711449,27.005806,1,0,0.9
9,1009,0.689,819.55,0.2921,6.1598,47.424554,22.331121,1,0,0.9
10,1010,0.52,623.13,0.1022,8.3229,47.660418,23.702569,1,0,0.9
11,1011,0.341,1230.24,0.2655,5.0,46.90534,25.645904,1,0,0.9
12,1012,0.978,1057.07,0.3233,5.4375,46.20943,26.975919,0,1,0.1
13,1013,1.532,626.48,4.1917,9.2288,45.463544,25.268569,0,1,0.1
14,1014,0.991,479.51,0.7949,8.36,46.204255,26.024874,0,1,0.1
15,1015,3.924,441.94,0.1136,9.5398,45.997245,21.386614,1,0,0.9
16,1016,2.227,67.61,0.257,11.0969,47.610078,27.019263,1,0,0.9
17,1017,0.66,409.89,0.5696,9.9948,46.460158,22.205753,0,1,0.1
18,1018,0.655,288.42,0.2245,10.4187,45.678588,21.027025,1,0,0.9
19,1019,1.137,219.88,0.3094,10.8704,45.866403,27.809954,1,0,0.9
20,1020,0.455,564.58,0.1523,8.1401,45.40941,21.613119,1,0,0.9
21,1021,1.852,377.18,0.0694,9.3541,47.755756,21.093216,1,0,0.9
22,1022,1.055,460.05,1.6593,9.7033,45.151038,25.008167,0,1,0.1
23,1023,0.98,195.82,0.2895,11.7105,45.038539,22.550905,1,0,0.9
24,1024,1.324,732.29,0.5957,7.8464,45.548967,21.066794,0,1,0.1
25,1025,2.735,314.41,0.2367,9.6649,47.432622,24.808969,1,0,0.9
26,1026,0.923,545.6,1.9232,8.8959,46.5704,26.071882,0,1,0.1
