fold,site,dt_pred,llm_vote,observed
1,2772,0,0.0,0
1,7958,0,0.0,0
1,8131,0,0.0,0
1,13255,0,0.0,0
1,13643,1,0.3333333333333333,1
1,19327,0,0.6666666666666666,1
1,20799,1,0.0,0
1,20836,0,0.3333333333333333,0
1,21183,1,1.0,1
1,24676,0,0.0,0
1,29378,0,0.3333333333333333,1
1,30797,1,0.6666666666666666,1
1,30813,1,0.6666666666666666,1
1,31499,0,0.3333333333333333,1
1,31669,0,0.0,0
1,38714,0,0.6666666666666666,0
1,40523,0,0.0,0
1,64240,0,0.0,0
1,100695,0,0.0,0
1,112574,1,0.6666666666666666,0
1,117707,0,0.3333333333333333,0
1,119418,0,0.3333333333333333,0
1,119523,0,0.3333333333333333,0
1,120154,0,0.0,0
1,121693,0,0.0,0
1,129344,1,0.3333333333333333,0
1,130977,0,0.0,0
1,134704,0,0.3333333333333333,0
1,136163,1,0.0,0
1,136386,0,0.6666666666666666,0
1,151401,0,0.3333333333333333,0
1,163551,0,0.3333333333333333,0
1,164462,0,0.3333333333333333,0
1,169184,1,0.0,0
1,171012,0,0.0,0
1,171284,0,0.0,0
1,171837,0,0.0,0
1,171916,0,0.0,0
1,173236,1,0.0,0
1,182129,0,0.0,0
1,188563,0,0.0,0
1,189836,0,0.0,0
1,193155,0,0.0,0
2,3758,0,0.0,0
2,8212,0,0.0,0
2,13164,0,0.0,0
2,13176,0,0.0,0
2,13274,0,0.0,0
2,14157,0,0.0,1
2,14165,0,0.0,0
2,17705,1,0.6666666666666666,1
2,18906,1,0.6666666666666666,1
2,20641,0,0.0,1
2,23113,0,0.3333333333333333,1
2,24279,0,0.0,0
2,29850,0,0.3333333333333333,0
2,31528,0,0.0,1
2,31578,0,0.0,0
2,36495,0,0.0,0
2,38675,0,0.3333333333333333,0
2,40904,0,0.0,0
2,41142,0,0.3333333333333333,1
2,49069,0,0.0,0
2,64584,0,0.0,0
2,106818,0,0.0,0
2,132601,1,0.6666666666666666,0
2,133779,0,0.0,0
2,134479,1,0.6666666666666666,0
2,134918,0,0.3333333333333333,0
2,140582,0,0.0,0
2,146665,0,0.0,0
2,150950,0,0.3333333333333333,0
2,151750,0,0.0,0
2,159290,1,0.6666666666666666,0
2,163372,0,0.0,0
2,168733,0,0.3333333333333333,0
2,172211,0,0.0,0
2,180668,0,0.0,0
2,180887,0,0.0,0
2,181415,0,0.0,0
2,181677,0,0.0,0
2,181704,0,0.0,0
2,182175,0,0.0,0
2,187850,0,0.0,0
2,188653,0,0.0,0
2,193043,0,0.0,0
3,6938,1,1.0,0
3,8707,1,1.0,1
3,12956,0,0.0,0
3,13610,0,0.0,0
3,15919,0,0.0,1
3,15953,0,0.0,0
3,19042,1,1.0,1
3,23253,1,1.0,1
3,40728,0,1.0,1
3,41101,0,0.0,1
3,42235,1,1.0,1
3,47884,0,0.0,0
3,48330,0,0.0,0
3,72310,0,0.0,0
3,75861,0,0.0,0
3,105408,0,0.0,0
3,106811,0,0.0,0
3,112858,1,1.0,0
3,113758,0,1.0,0
3,122198,0,0.0,0
3,129226,1,1.0,0
3,138486,0,1.0,0
3,139800,0,1.0,0
3,140575,0,0.0,0
3,145075,0,1.0,0
3,147845,0,0.0,0
3,151064,1,1.0,0
3,161436,0,0.0,0
3,169885,0,0.0,0
3,170945,0,0.0,0
3,171605,0,0.0,0
3,171638,0,0.0,0
3,171786,0,0.0,0
3,173648,0,0.0,0
3,181141,0,0.0,0
3,182113,0,0.0,0
3,188836,0,0.0,0
3,189200,0,0.0,0
3,189249,0,0.0,0
3,189303,0,0.0,0
3,193138,0,0.0,0
3,193380,0,0.0,0
3,204646,1,1.0,0
4,8405,0,0.0,0
4,12865,0,0.0,0
4,13171,0,0.0,0
4,13465,0,0.0,0
4,17789,0,1.0,0
4,18074,0,0.0,0
4,19250,0,1.0,1
4,25024,1,1.0,1
4,29081,0,0.0,0
4,29738,1,1.0,1
4,30180,0,0.0,0
4,30869,0,0.0,0
4,36454,1,0.0,0
4,38053,1,0.0,1
4,41245,1,0.6666666666666666,1
4,41276,0,0.0,0
4,41859,1,1.0,1
4,43501,1,1.0,1
4,48025,0,0.6666666666666666,0
4,60780,1,0.3333333333333333,0
4,106148,0,0.0,0
4,120001,0,0.0,0
4,127754,1,1.0,0
4,129698,0,1.0,0
4,130035,1,1.0,0
4,132068,0,0.0,0
4,134532,1,0.0,0
4,135070,0,1.0,0
4,135242,1,1.0,0
4,141566,1,1.0,0
4,145141,1,1.0,0
4,148230,0,0.0,0
4,152179,0,0.0,0
4,156277,1,0.3333333333333333,0
4,161113,0,0.0,0
4,161377,0,0.0,0
4,171319,0,0.0,0
4,172882,0,0.0,0
4,176958,0,0.0,0
4,183649,0,0.0,0
4,188713,0,0.0,0
4,189226,0,0.0,0
4,189367,0,0.0,0
5,4758,0,0.0,0
5,7629,1,1.0,0
5,8706,1,0.75,1
5,13082,0,0.0,0
5,18905,1,0.25,1
5,19387,1,1.0,1
5,21035,0,0.75,1
5,23165,0,0.5,0
5,25097,0,0.0,0
5,25327,0,0.0,0
5,38817,1,1.0,1
5,41152,1,0.5,1
5,47935,0,0.0,0
5,59088,0,0.0,0
5,61590,0,0.0,0
5,64018,0,0.0,0
5,64364,0,0.0,0
5,75361,0,0.0,0
5,83280,0,0.0,0
5,101896,1,0.0,0
5,112213,0,0.0,0
5,114485,0,0.75,0
5,136705,0,0.75,0
5,145291,1,1.0,0
5,146030,0,0.0,0
5,148264,1,1.0,0
5,160962,0,0.0,0
5,164070,1,0.25,0
5,166791,0,0.0,0
5,171665,0,0.0,0
5,171766,0,0.0,0
5,172745,1,0.0,0
5,176143,0,0.25,0
5,180497,0,0.0,0
5,180642,0,0.0,0
5,181611,0,0.0,0
5,183001,0,0.0,0
5,187987,0,0.0,0
5,188402,0,0.0,0
5,188666,0,0.0,0
5,188714,0,0.0,0
5,189436,0,0.25,0
