site,fold,observed,dt_pred,llm_vote,type,RWQ,ALT,FFP,BIO1
112546,1,1,1,0.8,TP,0.83,459.9,0.114,8.86
119721,1,1,1,0.8,TP,0.35,601.7,0.907,8.52
120154,1,0,1,0.0,FP_LLM_disagrees,0.9,159.6,0.0,10.62
121305,1,1,1,0.8,TP,0.67,468.6,0.576,8.92
125941,1,1,1,0.6,TP_moderate,0.9,400.5,0.907,9.37
141714,1,1,1,0.8,TP,0.78,858.2,0.083,6.34
155397,1,1,1,0.6,TP_moderate,0.8,362.0,0.087,9.17
157255,1,1,1,0.8,TP,0.97,604.9,0.972,8.35
163551,1,0,1,0.2,FP_LLM_disagrees,0.95,375.8,0.052,10.03
163833,1,1,1,0.6,TP_moderate,0.92,443.5,0.008,9.5
166566,1,1,1,0.6,TP_moderate,0.75,317.5,0.805,8.9
