fold,site,dt_pred,llm_vote,observed
1,2772,0,0.0,0
1,7958,0,0.0,0
1,8131,0,0.0,0
1,13255,0,0.0,0
1,20799,1,0.4,0
1,20836,1,0.8,0
1,24676,0,0.0,0
1,31669,0,0.0,0
1,38714,1,1.0,0
1,40523,0,0.0,0
1,64240,0,0.0,0
1,100695,0,0.0,0
1,112546,1,0.8,1
1,112574,0,0.8,0
1,117707,1,0.6,0
1,119418,1,1.0,0
1,119523,0,0.8,0
1,119721,1,0.8,1
1,120154,1,0.0,0
1,121305,1,0.8,1
1,121693,0,0.0,0
1,125941,1,0.6,1
1,129344,0,0.8,0
1,130977,0,0.0,0
1,131935,1,0.4,1
1,134704,1,1.0,0
1,136163,1,0.4,0
1,136386,1,0.8,0
1,141714,1,0.8,1
1,151401,1,1.0,0
1,155397,1,0.6,1
1,157255,1,0.8,1
1,163551,1,0.2,0
1,163562,1,0.2,1
1,163833,1,0.6,1
1,163992,1,0.2,1
1,164016,1,0.0,1
1,164462,1,0.8,0
1,166566,1,0.6,1
1,169184,1,0.4,0
1,171012,0,0.0,0
1,171284,0,0.0,0
1,171837,0,0.0,0
1,171916,0,0.0,0
1,171937,1,0.4,1
1,173236,0,0.4,0
1,173591,1,0.0,1
1,174044,1,0.2,1
1,176121,1,0.0,1
1,176714,1,0.0,1
1,179060,1,0.0,1
1,182129,0,0.0,0
1,188563,0,0.0,0
1,189836,0,0.0,0
1,193155,0,0.0,0
2,3758,0,0.0,0
2,8212,0,0.0,0
2,13164,0,0.0,0
2,13176,0,0.0,0
2,13274,0,0.0,0
2,14165,0,0.0,0
2,24279,0,0.14285714285714285,0
2,29850,1,1.0,0
2,31578,0,0.0,0
2,36495,1,0.7142857142857143,0
2,38675,1,1.0,0
2,40904,0,0.0,0
2,49069,0,0.14285714285714285,0
2,64584,0,0.14285714285714285,0
2,106556,1,1.0,1
2,106818,0,0.0,0
2,119745,1,1.0,1
2,132268,1,1.0,1
2,132306,1,0.8571428571428571,1
2,132601,1,1.0,0
2,133779,0,0.0,0
2,134479,1,0.7142857142857143,0
2,134918,1,1.0,0
2,140582,0,0.0,0
2,141742,1,0.7142857142857143,1
2,142060,1,1.0,1
2,146665,1,1.0,0
2,150594,1,0.8571428571428571,1
2,150950,1,1.0,0
2,151750,1,0.7142857142857143,0
2,152926,1,0.8571428571428571,1
2,153181,1,0.7142857142857143,1
2,159290,1,0.8571428571428571,0
2,162622,1,1.0,1
2,162824,1,1.0,1
2,162825,1,0.8571428571428571,1
2,162967,1,0.7142857142857143,1
2,163372,1,1.0,0
2,163678,1,0.8571428571428571,1
2,163998,1,1.0,1
2,164038,1,0.7142857142857143,1
2,167488,1,0.42857142857142855,1
2,168733,0,0.14285714285714285,0
2,172211,0,0.14285714285714285,0
2,180668,0,0.0,0
2,180887,0,0.0,0
2,181415,0,0.14285714285714285,0
2,181677,0,0.14285714285714285,0
2,181704,0,0.2857142857142857,0
2,182175,0,0.2857142857142857,0
2,183130,1,0.5714285714285714,1
2,186991,1,0.5714285714285714,1
2,187850,0,0.0,0
2,188653,0,0.0,0
2,193043,0,0.0,0
3,6938,1,0.7142857142857143,0
3,12956,0,0.0,0
3,13610,0,0.14285714285714285,0
3,15953,1,0.7142857142857143,0
3,47884,1,0.42857142857142855,0
3,48330,1,0.42857142857142855,0
3,72310,0,0.14285714285714285,0
3,75861,0,0.14285714285714285,0
3,105408,0,0.0,0
3,106811,0,0.14285714285714285,0
3,111844,1,0.5714285714285714,1
3,112858,1,0.7142857142857143,0
3,113758,0,0.42857142857142855,0
3,119543,1,0.42857142857142855,1
3,120769,1,0.42857142857142855,1
3,121441,1,0.5714285714285714,1
3,122198,0,0.14285714285714285,0
3,129226,1,0.7142857142857143,0
3,132790,1,0.5714285714285714,1
3,133856,1,0.42857142857142855,1
3,138486,1,0.2857142857142857,0
3,139800,1,0.2857142857142857,0
3,140575,0,0.0,0
3,141032,1,0.5714285714285714,1
3,141194,1,0.7142857142857143,1
3,141531,1,0.7142857142857143,1
3,145075,1,0.42857142857142855,0
3,147845,0,0.2857142857142857,0
3,151064,1,0.7142857142857143,0
3,159217,1,0.8571428571428571,1
3,161436,0,0.0,0
3,161676,1,0.8571428571428571,1
3,163863,1,0.5714285714285714,1
3,169885,1,0.5714285714285714,0
3,170945,0,0.0,0
3,171605,0,0.0,0
3,171638,0,0.0,0
3,171786,0,0.0,0
3,172296,1,0.8571428571428571,1
3,173440,1,0.42857142857142855,1
3,173648,0,0.14285714285714285,0
3,174133,1,0.8571428571428571,1
3,174568,0,0.5714285714285714,1
3,178147,1,0.5714285714285714,1
3,181141,0,0.0,0
3,182113,0,0.2857142857142857,0
3,182601,1,0.42857142857142855,1
3,187743,1,0.8571428571428571,1
3,188836,0,0.0,0
3,189200,0,0.0,0
3,189249,0,0.42857142857142855,0
3,189303,1,0.7142857142857143,0
3,193138,0,0.0,0
3,193380,0,0.0,0
3,204646,0,0.42857142857142855,0
4,8405,0,0.0,0
4,12865,0,0.0,0
4,13171,0,0.0,0
4,13465,0,0.0,0
4,17789,1,1.0,0
4,18074,0,0.0,0
4,29081,1,0.7142857142857143,0
4,30180,0,0.0,0
4,30869,0,0.0,0
4,36454,1,0.42857142857142855,0
4,41276,0,0.0,0
4,48025,1,0.8571428571428571,0
4,60780,1,0.5714285714285714,0
4,106148,0,0.0,0
4,120001,0,0.0,0
4,127754,1,1.0,0
4,129698,1,1.0,0
4,130035,1,1.0,0
4,132068,0,0.0,0
4,132262,1,1.0,1
4,132834,1,1.0,1
4,132984,1,0.7142857142857143,1
4,134438,1,1.0,1
4,134532,1,0.8571428571428571,0
4,134656,1,1.0,1
4,135070,1,1.0,0
4,135242,1,1.0,0
4,141182,1,1.0,1
4,141566,1,1.0,0
4,145141,1,1.0,0
4,148230,1,0.8571428571428571,0
4,152179,0,0.0,0
4,153244,1,1.0,1
4,153602,1,1.0,1
4,156277,1,0.8571428571428571,0
4,157207,1,1.0,1
4,158794,1,0.8571428571428571,1
4,161113,0,0.0,0
4,161377,0,0.0,0
4,162233,1,1.0,1
4,162734,1,0.7142857142857143,1
4,162974,1,1.0,1
4,170632,1,1.0,1
4,171319,0,0.0,0
4,172563,1,0.7142857142857143,1
4,172882,0,0.14285714285714285,0
4,176958,0,0.0,0
4,182073,1,0.42857142857142855,1
4,182414,1,0.14285714285714285,1
4,183412,1,0.42857142857142855,1
4,183649,0,0.0,0
4,188713,0,0.0,0
4,189226,0,0.14285714285714285,0
4,189367,1,0.5714285714285714,0
5,4758,0,0.0,0
5,7629,1,0.8,0
5,13082,0,0.2,0
5,23165,1,0.6,0
5,25097,0,0.0,0
5,25327,0,0.0,0
5,47935,0,0.2,0
5,59088,1,0.6,0
5,61590,0,0.0,0
5,64018,0,0.2,0
5,64364,0,0.2,0
5,75361,0,0.0,0
5,83280,0,0.0,0
5,101896,0,0.2,0
5,112213,1,0.8,0
5,114485,1,0.6,0
5,129431,1,0.6,1
5,132551,1,0.8,1
5,132862,1,0.6,1
5,136705,1,0.6,0
5,141221,1,0.6,1
5,145291,1,0.8,0
5,146030,0,0.0,0
5,148264,1,0.6,0
5,160962,0,0.2,0
5,162877,1,0.8,1
5,163351,1,0.6,1
5,164070,1,0.6,0
5,165451,1,0.6,1
5,166791,1,0.6,0
5,166986,1,0.6,1
5,171665,1,0.4,0
5,171766,0,0.2,0
5,172294,1,0.4,1
5,172595,1,0.6,1
5,172745,0,0.0,0
5,173096,0,0.6,1
5,173505,1,0.8,1
5,174389,1,0.6,1
5,174507,1,0.4,1
5,174539,1,0.8,1
5,176143,1,0.6,0
5,180497,0,0.2,0
5,180642,0,0.0,0
5,181611,0,0.0,0
5,181744,1,0.8,1
5,183001,0,0.0,0
5,183102,1,0.6,1
5,186633,1,0.6,1
5,187987,0,0.2,0
5,188402,0,0.2,0
5,188666,0,0.2,0
5,188714,0,0.2,0
5,189436,1,0.4,0
