fold,site,dt_pred,llm_vote,observed
1,3758,1,1.0,1
1,8131,1,1.0,1
1,8405,0,0.0,1
1,12956,1,1.0,1
1,13465,0,0.0,0
1,15919,0,0.0,0
1,15953,0,0.0,0
1,20836,0,0.0,0
1,21035,0,0.0,0
1,21183,0,0.0,0
1,23253,0,0.0,0
1,29081,0,0.0,0
1,29738,0,0.0,0
1,29850,0,0.0,0
1,31499,0,0.0,0
1,38714,0,0.0,0
1,40523,1,1.0,1
1,64364,1,1.0,1
1,75361,1,1.0,1
1,106148,0,0.0,0
1,111844,0,0.0,0
1,112213,0,0.0,0
1,117707,0,0.0,0
1,122198,0,0.0,0
1,129698,0,0.0,0
1,130035,0,0.0,0
1,130977,1,1.0,1
1,132268,0,0.0,0
1,132306,0,0.0,0
1,132551,0,0.0,0
1,133856,0,0.0,0
1,134656,0,0.0,0
1,139800,0,0.0,0
1,140582,1,1.0,1
1,141742,0,0.0,0
1,151064,0,0.0,0
1,157207,0,0.0,0
1,158794,0,0.0,0
1,163351,0,0.0,0
1,163372,0,0.0,0
1,163551,0,0.0,0
1,164070,0,0.0,0
1,166791,0,0.0,0
1,169184,0,0.0,0
1,171012,1,1.0,1
1,171319,1,1.0,1
1,171665,1,1.0,1
1,171786,1,1.0,1
1,172211,0,0.0,0
1,172595,0,0.0,0
1,173505,0,0.0,0
1,174044,0,0.0,0
1,174389,0,0.0,0
1,174539,0,0.0,0
1,180887,1,1.0,1
1,182414,0,0.0,0
1,183412,0,0.0,0
1,186633,0,0.0,0
1,187743,0,0.0,0
1,188836,1,1.0,1
1,189249,1,1.0,1
1,204646,1,1.0,1
2,7958,0,0.6666666666666666,1
2,12865,1,1.0,1
2,13255,0,0.3333333333333333,0
2,17789,0,0.0,0
2,19042,0,0.0,0
2,24279,1,1.0,1
2,24676,0,0.6666666666666666,0
2,30813,0,0.0,0
2,31528,0,0.0,0
2,36495,0,0.0,0
2,40728,0,0.0,0
2,40904,0,0.6666666666666666,0
2,41142,0,0.0,0
2,41276,1,1.0,1
2,41859,0,0.0,0
2,42235,0,0.0,0
2,64240,1,1.0,1
2,75861,0,0.6666666666666666,0
2,100695,0,0.6666666666666666,0
2,106811,1,1.0,1
2,112546,0,0.0,0
2,112574,0,0.0,0
2,119745,0,0.0,0
2,120154,0,0.3333333333333333,0
2,127754,0,0.0,0
2,129431,0,0.0,0
2,132262,0,0.0,0
2,132834,0,0.0,0
2,132862,0,0.0,0
2,133779,0,0.0,0
2,134479,0,0.0,0
2,136163,0,0.0,0
2,136386,0,0.0,0
2,141221,0,0.0,0
2,147845,0,0.0,0
2,148230,0,0.0,0
2,156277,0,0.0,0
2,157255,0,0.0,0
2,161113,1,1.0,1
2,161436,1,1.0,1
2,162824,0,0.0,0
2,162877,0,0.0,0
2,163992,0,0.3333333333333333,0
2,164462,0,0.0,0
2,171605,1,1.0,1
2,172745,0,0.3333333333333333,0
2,173096,0,0.0,0
2,173591,0,0.0,0
2,176958,0,0.3333333333333333,0
2,179060,0,0.0,0
2,181141,1,1.0,1
2,181677,1,1.0,1
2,182073,0,0.0,0
2,182129,1,0.6666666666666666,1
2,182601,0,0.0,0
2,183102,0,0.0,0
2,183130,0,0.0,0
2,187987,1,1.0,1
2,188714,1,1.0,1
2,189226,1,0.6666666666666666,1
2,189303,0,0.3333333333333333,1
2,193138,1,1.0,1
3,8706,0,0.0,0
3,13164,0,0.25,1
3,13171,0,0.25,1
3,13176,0,0.25,1
3,13610,0,0.0,0
3,17705,0,0.0,0
3,19250,0,0.0,0
3,19327,0,0.0,0
3,20641,0,0.0,0
3,25024,0,0.0,0
3,25097,1,0.5,0
3,30869,0,0.0,0
3,31578,1,0.75,1
3,31669,1,0.75,1
3,36454,0,0.25,0
3,38053,0,0.0,0
3,41245,0,0.0,0
3,48330,0,0.0,0
3,61590,0,0.25,0
3,64018,1,0.75,1
3,83280,0,0.0,0
3,101896,0,0.25,0
3,105408,1,0.75,1
3,106818,1,0.75,1
3,112858,0,0.0,0
3,113758,0,0.0,0
3,114485,0,0.0,0
3,120001,1,0.75,1
3,121441,0,0.0,0
3,129226,0,0.0,0
3,132068,0,0.25,0
3,132601,0,0.0,0
3,134918,0,0.0,0
3,138486,0,0.0,0
3,141032,0,0.25,0
3,145291,0,0.0,0
3,146665,0,0.0,0
3,151401,0,0.0,0
3,153181,0,0.0,0
3,153602,0,0.0,0
3,155397,0,0.0,0
3,159217,0,0.0,0
3,162233,0,0.0,0
3,163833,0,0.25,0
3,163998,0,0.0,0
3,166986,0,0.0,0
3,169885,0,0.25,0
3,171638,1,0.75,1
3,171837,1,0.75,1
3,171937,0,0.25,0
3,172294,0,0.0,0
3,172563,0,0.0,0
3,173648,0,0.25,0
3,174507,0,0.0,0
3,180497,1,0.75,1
3,180642,1,0.75,1
3,181415,1,0.5,1
3,181744,0,0.0,0
3,182113,1,0.5,1
3,182175,1,0.5,1
3,188713,1,0.75,1
3,189436,1,0.5,0
4,6938,0,0.0,0
4,7629,0,0.0,0
4,13082,1,0.6666666666666666,1
4,13643,0,0.0,0
4,14157,0,0.0,0
4,14165,1,1.0,1
4,18074,1,0.6666666666666666,1
4,18905,0,0.0,0
4,19387,0,0.0,0
4,20799,0,0.0,0
4,23113,0,0.0,0
4,25327,0,0.3333333333333333,0
4,29378,0,0.0,0
4,30797,0,0.0,0
4,38675,0,0.0,0
4,38817,0,0.0,0
4,64584,1,0.6666666666666666,1
4,106556,0,0.0,0
4,119523,0,0.0,0
4,121305,0,0.0,0
4,132790,0,0.0,0
4,132984,0,0.0,0
4,134412,0,0.0,0
4,134438,0,0.0,0
4,134532,0,0.0,0
4,135242,0,0.0,0
4,136705,0,0.0,0
4,140575,1,0.6666666666666666,1
4,141182,0,0.0,0
4,141531,0,0.0,0
4,146030,1,0.6666666666666666,0
4,148264,0,0.0,0
4,150594,0,0.0,0
4,151750,0,0.0,0
4,152926,0,0.0,0
4,159290,0,0.0,0
4,160962,1,0.6666666666666666,1
4,161676,0,0.0,0
4,162974,0,0.0,0
4,163562,0,0.0,0
4,163863,0,0.0,0
4,166566,0,0.0,0
4,167488,0,0.0,0
4,170632,0,0.0,0
4,170945,1,0.6666666666666666,1
4,171284,1,0.6666666666666666,1
4,171766,1,0.6666666666666666,1
4,172296,0,0.0,0
4,172882,1,0.6666666666666666,0
4,173440,0,0.0,0
4,176121,0,0.3333333333333333,0
4,176143,1,0.6666666666666666,1
4,178147,0,0.0,0
4,181611,1,0.6666666666666666,1
4,181704,1,0.6666666666666666,0
4,186991,0,0.0,0
4,187850,1,0.6666666666666666,1
4,188563,1,0.6666666666666666,1
4,188653,1,0.6666666666666666,1
4,189200,1,0.6666666666666666,1
4,193155,1,0.6666666666666666,1
4,204647,1,0.6666666666666666,1
5,2772,0,0.0,1
