species,scenario,model,macro_f1_mean,macro_f1_std,d2_mean,tp,fp,fn,tn
AUT,Full,Null (majority),0.3973626373626374,0.0024075716813414,-0.0001915179037167,0,0,93,180
AUT,Full,GLM (logistic),0.6041248292342594,0.1015153573466425,0.1921494833994651,42,41,51,139
AUT,Full,DT(d=2),0.7523113921440079,0.0348041730524108,0.3084600557356389,91,65,2,115
AUT,Full,DT(d=3),0.7700016538940747,0.0442742980371138,0.2871639201894364,85,53,8,127
AUT,Full,DT(d=5),0.770721830438024,0.0562813703839351,0.2721620553937992,77,43,16,137
AUT,Full,DT(d=unlim),0.7548539654116647,0.0740220120271165,-0.2251931254817253,64,31,29,149
AUT,Full,LLM (per-fold ensemble),0.7080548759887697,0.0833579429949656,-0.5091888576099871,72,55,21,125
AUT,Full,RF(500),0.779123436166582,0.0412658513159217,0.3738050262297877,73,36,20,144
AUT,No ALT,Null (majority),0.3973626373626374,0.0024075716813414,-0.0001915179037167,0,0,93,180
AUT,No ALT,GLM (logistic),0.6159442392300065,0.0543909983432817,0.1957383181699881,46,46,47,134
AUT,No ALT,DT(d=2),0.7140480712954531,0.0295035603142121,0.2327057044102615,84,68,9,112
AUT,No ALT,DT(d=3),0.7292455184697559,0.0298351035890235,0.2021434538203019,81,60,12,120
AUT,No ALT,DT(d=5),0.7246465762853231,0.079171114883103,0.0362067946169208,72,49,21,131
AUT,No ALT,DT(d=unlim),0.7221196954296107,0.039471262953732,-0.4839042897722514,61,37,32,143
AUT,No ALT,LLM (per-fold ensemble),0.4837807353936386,0.1247941273404931,-0.037799705514309,13,13,80,167
AUT,No ALT,RF(500),0.7208365741219385,0.0518109198129687,0.326993871439378,62,38,31,142
AUT,No BIO1,Null (majority),0.3973626373626374,0.0024075716813414,-0.0001915179037167,0,0,93,180
AUT,No BIO1,GLM (logistic),0.6137180754427058,0.0903680669090612,0.1938211324830841,43,40,50,140
AUT,No BIO1,DT(d=2),0.7523113921440079,0.0348041730524108,0.3084600557356389,91,65,2,115
AUT,No BIO1,DT(d=3),0.7708929194912226,0.0433119935288319,0.2990152532239165,86,54,7,126
AUT,No BIO1,DT(d=5),0.7759220676077154,0.0502268554162781,0.2706340894338205,80,45,13,135
AUT,No BIO1,DT(d=unlim),0.7553427301403988,0.0317456817633599,-0.3241934954951201,63,30,30,150
AUT,No BIO1,LLM (per-fold ensemble),0.6283428557527229,0.1414291627211048,-0.0676375742327231,51,40,42,140
